ID,Noida Sector 142,Noida Sector 143,Noida Sector 144,Noida Sector 145,Noida Sector 146,Noida Sector 147,Noida Sector 148,Knowledge Park,Pari Chowk,Alpha 1,Delta 1,GNIDA Office,Depot Station
8661,6:00am,6:02am,6:04am,6:07am,6:09am,6:11am,6:14am,6:16am,6:18am,6:21am,6:23am,6:25am,6:28am
8662,6:05am,6:07am,6:09am,6:12am,6:14am,6:16am,6:19am,6:21am,6:23am,6:26am,6:28am,6:30am,6:33am
8663,6:10am,6:12am,6:14am,6:17am,6:19am,6:21am,6:24am,6:26am,6:28am,6:31am,6:33am,6:35am,6:38am
8664,6:15am,6:17am,6:19am,6:22am,6:24am,6:26am,6:29am,6:31am,6:33am,6:36am,6:38am,6:40am,6:43am
8665,6:20am,6:22am,6:24am,6:27am,6:29am,6:31am,6:34am,6:36am,6:38am,6:41am,6:43am,6:45am,6:48am
8666,6:25am,6:27am,6:29am,6:32am,6:34am,6:36am,6:39am,6:41am,6:43am,6:46am,6:48am,6:50am,6:53am
8667,6:30am,6:32am,6:34am,6:37am,6:39am,6:41am,6:44am,6:46am,6:48am,6:51am,6:53am,6:55am,6:58am
8668,6:35am,6:37am,6:39am,6:42am,6:44am,6:46am,6:49am,6:51am,6:53am,6:56am,6:58am,7:00am,7:03am
8669,6:40am,6:42am,6:44am,6:47am,6:49am,6:51am,6:54am,6:56am,6:58am,7:01am,7:03am,7:05am,7:08am
8670,6:45am,6:47am,6:49am,6:52am,6:54am,6:56am,6:59am,7:01am,7:03am,7:06am,7:08am,7:10am,7:13am
8671,6:50am,6:52am,6:54am,6:57am,6:59am,7:01am,7:04am,7:06am,7:08am,7:11am,7:13am,7:15am,7:18am
8672,6:55am,6:57am,6:59am,7:02am,7:04am,7:06am,7:09am,7:11am,7:13am,7:16am,7:18am,7:20am,7:23am
8673,7:00am,7:02am,7:04am,7:07am,7:09am,7:11am,7:14am,7:16am,7:18am,7:21am,7:23am,7:25am,7:28am
8674,7:05am,7:07am,7:09am,7:12am,7:14am,7:16am,7:19am,7:21am,7:23am,7:26am,7:28am,7:30am,7:33am
8675,7:10am,7:12am,7:14am,7:17am,7:19am,7:21am,7:24am,7:26am,7:28am,7:31am,7:33am,7:35am,7:38am
8676,7:15am,7:17am,7:19am,7:22am,7:24am,7:26am,7:29am,7:31am,7:33am,7:36am,7:38am,7:40am,7:43am
8677,7:20am,7:22am,7:24am,7:27am,7:29am,7:31am,7:34am,7:36am,7:38am,7:41am,7:43am,7:45am,7:48am
8678,7:25am,7:27am,7:29am,7:32am,7:34am,7:36am,7:39am,7:41am,7:43am,7:46am,7:48am,7:50am,7:53am
8679,7:30am,7:32am,7:34am,7:37am,7:39am,7:41am,7:44am,7:46am,7:48am,7:51am,7:53am,7:55am,7:58am
8680,7:35am,7:37am,7:39am,7:42am,7:44am,7:46am,7:49am,7:51am,7:53am,7:56am,7:58am,8:00am,8:03am
8681,7:40am,7:42am,7:44am,7:47am,7:49am,7:51am,7:54am,7:56am,7:58am,8:01am,8:03am,8:05am,8:08am
8682,7:45am,7:47am,7:49am,7:52am,7:54am,7:56am,7:59am,8:01am,8:03am,8:06am,8:08am,8:10am,8:13am
8683,7:50am,7:52am,7:54am,7:57am,7:59am,8:01am,8:04am,8:06am,8:08am,8:11am,8:13am,8:15am,8:18am
8684,7:55am,7:57am,7:59am,8:02am,8:04am,8:06am,8:09am,8:11am,8:13am,8:16am,8:18am,8:20am,8:23am
8685,8:00am,8:02am,8:04am,8:07am,8:09am,8:11am,8:14am,8:16am,8:18am,8:21am,8:23am,8:25am,8:28am
8686,8:05am,8:07am,8:09am,8:12am,8:14am,8:16am,8:19am,8:21am,8:23am,8:26am,8:28am,8:30am,8:33am
8687,8:08am,8:11am,8:13am,8:15am,8:18am,8:20am,8:22am,8:25am,8:27am,8:29am,8:32am,8:34am,8:36am
8688,8:12am,8:14am,8:17am,8:19am,8:21am,8:24am,8:26am,8:28am,8:31am,8:33am,8:35am,8:38am,8:40am
8689,8:16am,8:18am,8:20am,8:23am,8:25am,8:27am,8:30am,8:32am,8:34am,8:37am,8:39am,8:41am,8:44am
8690,8:20am,8:22am,8:24am,8:27am,8:29am,8:31am,8:34am,8:36am,8:38am,8:41am,8:43am,8:45am,8:48am
8691,8:23am,8:26am,8:28am,8:30am,8:33am,8:35am,8:37am,8:40am,8:42am,8:44am,8:47am,8:49am,8:51am
8692,8:27am,8:29am,8:32am,8:34am,8:36am,8:39am,8:41am,8:43am,8:46am,8:48am,8:50am,8:53am,8:55am
8693,8:31am,8:33am,8:35am,8:38am,8:40am,8:42am,8:45am,8:47am,8:49am,8:52am,8:54am,8:56am,8:59am
8694,8:35am,8:37am,8:39am,8:42am,8:44am,8:46am,8:49am,8:51am,8:53am,8:56am,8:58am,9:00am,9:03am
8695,8:38am,8:41am,8:43am,8:45am,8:48am,8:50am,8:52am,8:55am,8:57am,8:59am,9:02am,9:04am,9:06am
8696,8:42am,8:44am,8:47am,8:49am,8:51am,8:54am,8:56am,8:58am,9:01am,9:03am,9:05am,9:08am,9:10am
8697,8:46am,8:48am,8:50am,8:53am,8:55am,8:57am,9:00am,9:02am,9:04am,9:07am,9:09am,9:11am,9:14am
8698,8:50am,8:52am,8:54am,8:57am,8:59am,9:01am,9:04am,9:06am,9:08am,9:11am,9:13am,9:15am,9:18am
8699,8:53am,8:56am,8:58am,9:00am,9:03am,9:05am,9:07am,9:10am,9:12am,9:14am,9:17am,9:19am,9:21am
8700,8:57am,8:59am,9:02am,9:04am,9:06am,9:09am,9:11am,9:13am,9:16am,9:18am,9:20am,9:23am,9:25am
8701,9:01am,9:03am,9:05am,9:08am,9:10am,9:12am,9:15am,9:17am,9:19am,9:22am,9:24am,9:26am,9:29am
8702,9:05am,9:07am,9:09am,9:12am,9:14am,9:16am,9:19am,9:21am,9:23am,9:26am,9:28am,9:30am,9:33am
8703,9:08am,9:11am,9:13am,9:15am,9:18am,9:20am,9:22am,9:25am,9:27am,9:29am,9:32am,9:34am,9:36am
8704,9:12am,9:14am,9:17am,9:19am,9:21am,9:24am,9:26am,9:28am,9:31am,9:33am,9:35am,9:38am,9:40am
8705,9:16am,9:18am,9:20am,9:23am,9:25am,9:27am,9:30am,9:32am,9:34am,9:37am,9:39am,9:41am,9:44am
8706,9:20am,9:22am,9:24am,9:27am,9:29am,9:31am,9:34am,9:36am,9:38am,9:41am,9:43am,9:45am,9:48am
8707,9:23am,9:26am,9:28am,9:30am,9:33am,9:35am,9:37am,9:40am,9:42am,9:44am,9:47am,9:49am,9:51am
8708,9:27am,9:29am,9:32am,9:34am,9:36am,9:39am,9:41am,9:43am,9:46am,9:48am,9:50am,9:53am,9:55am
8709,9:31am,9:33am,9:35am,9:38am,9:40am,9:42am,9:45am,9:47am,9:49am,9:52am,9:54am,9:56am,9:59am
8710,9:35am,9:37am,9:39am,9:42am,9:44am,9:46am,9:49am,9:51am,9:53am,9:56am,9:58am,10:00am,10:03am
8711,9:38am,9:41am,9:43am,9:45am,9:48am,9:50am,9:52am,9:55am,9:57am,9:59am,10:02am,10:04am,10:06am
