ID,Shaheed Sthal (New Bus Adda),Hindon River,Arthala,Mohan Nagar,Shyam Park,Major Mohit Sharma Rajender Nagar,Raj Bagh,Shaheed Nagar,Dilshad Garden,Jhilmil,Mansrover park,Shahdara,Welcome,Seelam Pur,Shastri Park,Kashmere Gate,Tis Hazari,Pul Bangash,Pratap Nagar,Shastri Nagar,Inderlok,Kanhaiya Nagar,Keshav Puram,Netaji Subash Place,Kohat Enclave,Pitampura,Rohini East,Rohini West,Rithala
10000,4:01pm,4:03pm,4:06pm,4:08pm,4:11pm,4:13pm,4:15pm,4:18pm,4:20pm,4:22pm,4:25pm,4:27pm,4:30pm,4:32pm,4:35pm,4:39pm,4:41pm,4:43pm,4:46pm,4:49pm,4:51pm,4:53pm,4:55pm,4:58pm,5:01pm,5:03pm,5:05pm,5:08pm,5:10pm
10001,4:09pm,4:12pm,4:14pm,4:16pm,4:19pm,4:21pm,4:23pm,4:26pm,4:28pm,4:31pm,4:33pm,4:35pm,4:38pm,4:40pm,4:43pm,4:47pm,4:49pm,4:52pm,4:54pm,4:57pm,4:59pm,5:02pm,5:04pm,5:06pm,5:09pm,5:11pm,5:13pm,5:16pm,5:19pm
10002,4:18pm,4:20pm,4:23pm,4:24pm,4:27pm,4:29pm,4:32pm,4:34pm,4:37pm,4:39pm,4:41pm,4:44pm,4:46pm,4:49pm,4:51pm,4:55pm,4:58pm,5:00pm,5:02pm,5:05pm,5:08pm,5:10pm,5:12pm,5:15pm,5:17pm,5:19pm,5:21pm,5:24pm,5:27pm
10003,4:26pm,4:28pm,4:31pm,4:33pm,4:35pm,4:38pm,4:40pm,4:42pm,4:45pm,4:47pm,4:49pm,4:52pm,4:54pm,4:57pm,5:00pm,5:03pm,5:06pm,5:08pm,5:10pm,5:13pm,5:16pm,5:18pm,5:20pm,5:23pm,5:25pm,5:28pm,5:30pm,5:32pm,5:35pm
10004,4:34pm,4:36pm,4:39pm,4:41pm,4:43pm,4:46pm,4:48pm,4:51pm,4:53pm,4:55pm,4:58pm,5:00pm,5:03pm,5:05pm,5:08pm,5:12pm,5:14pm,5:16pm,5:18pm,5:21pm,5:24pm,5:26pm,5:28pm,5:31pm,5:33pm,5:36pm,5:38pm,5:40pm,5:43pm
10005,4:42pm,4:44pm,4:47pm,4:49pm,4:52pm,4:54pm,4:56pm,4:59pm,5:01pm,5:03pm,5:06pm,5:08pm,5:11pm,5:13pm,5:16pm,5:20pm,5:22pm,5:24pm,5:27pm,5:30pm,5:32pm,5:34pm,5:36pm,5:39pm,5:42pm,5:44pm,5:46pm,5:49pm,5:51pm
10006,4:50pm,4:53pm,4:55pm,4:57pm,5:00pm,5:02pm,5:04pm,5:07pm,5:09pm,5:12pm,5:14pm,5:16pm,5:19pm,5:21pm,5:24pm,5:28pm,5:30pm,5:33pm,5:35pm,5:38pm,5:40pm,5:43pm,5:45pm,5:47pm,5:50pm,5:52pm,5:54pm,5:57pm,6:00pm
10007,4:59pm,5:01pm,5:04pm,5:05pm,5:08pm,5:10pm,5:13pm,5:15pm,5:18pm,5:20pm,5:22pm,5:25pm,5:27pm,5:30pm,5:32pm,5:36pm,5:39pm,5:41pm,5:43pm,5:46pm,5:49pm,5:51pm,5:53pm,5:56pm,5:58pm,6:00pm,6:02pm,6:05pm,6:08pm
10008,5:07pm,5:09pm,5:12pm,5:14pm,5:16pm,5:19pm,5:21pm,5:23pm,5:26pm,5:28pm,5:30pm,5:33pm,5:35pm,5:38pm,5:41pm,5:44pm,5:47pm,5:49pm,5:51pm,5:54pm,5:57pm,5:59pm,6:01pm,6:04pm,6:06pm,6:09pm,6:11pm,6:13pm,6:16pm
10009,5:14pm,5:16pm,5:19pm,5:21pm,5:23pm,5:26pm,5:28pm,5:30pm,5:33pm,5:35pm,5:37pm,5:40pm,5:42pm,5:45pm,5:48pm,5:51pm,5:54pm,5:56pm,5:58pm,6:01pm,6:04pm,6:06pm,6:08pm,6:11pm,6:13pm,6:16pm,6:18pm,6:20pm,6:23pm
10010,5:21pm,5:23pm,5:26pm,5:28pm,5:30pm,5:33pm,5:35pm,5:37pm,5:40pm,5:42pm,5:44pm,5:47pm,5:49pm,5:52pm,5:55pm,5:58pm,6:01pm,6:03pm,6:05pm,6:08pm,6:11pm,6:13pm,6:15pm,6:18pm,6:20pm,6:23pm,6:25pm,6:27pm,6:30pm
10011,5:28pm,5:30pm,5:33pm,5:35pm,5:37pm,5:40pm,5:42pm,5:44pm,5:47pm,5:49pm,5:51pm,5:54pm,5:56pm,5:59pm,6:02pm,6:05pm,6:08pm,6:10pm,6:12pm,6:15pm,6:18pm,6:20pm,6:22pm,6:25pm,6:27pm,6:30pm,6:32pm,6:34pm,6:37pm
10012,5:35pm,5:37pm,5:40pm,5:42pm,5:44pm,5:47pm,5:49pm,5:51pm,5:54pm,5:56pm,5:58pm,6:01pm,6:03pm,6:06pm,6:09pm,6:12pm,6:15pm,6:17pm,6:19pm,6:22pm,6:25pm,6:27pm,6:29pm,6:32pm,6:34pm,6:37pm,6:39pm,6:41pm,6:44pm
10013,5:42pm,5:44pm,5:47pm,5:49pm,5:51pm,5:54pm,5:56pm,5:58pm,6:01pm,6:03pm,6:05pm,6:08pm,6:10pm,6:13pm,6:16pm,6:19pm,6:22pm,6:24pm,6:26pm,6:29pm,6:32pm,6:34pm,6:36pm,6:39pm,6:41pm,6:44pm,6:46pm,6:48pm,6:51pm
10014,5:49pm,5:51pm,5:54pm,5:56pm,5:58pm,6:01pm,6:03pm,6:05pm,6:08pm,6:10pm,6:12pm,6:15pm,6:17pm,6:20pm,6:23pm,6:26pm,6:29pm,6:31pm,6:33pm,6:36pm,6:39pm,6:41pm,6:43pm,6:46pm,6:48pm,6:51pm,6:53pm,6:55pm,6:58pm
10015,5:56pm,5:58pm,6:01pm,6:03pm,6:05pm,6:08pm,6:10pm,6:12pm,6:15pm,6:17pm,6:19pm,6:22pm,6:24pm,6:27pm,6:30pm,6:33pm,6:36pm,6:38pm,6:40pm,6:43pm,6:46pm,6:48pm,6:50pm,6:53pm,6:55pm,6:58pm,7:00pm,7:02pm,7:05pm
10016,6:03pm,6:05pm,6:08pm,6:10pm,6:12pm,6:15pm,6:17pm,6:19pm,6:22pm,6:24pm,6:26pm,6:29pm,6:31pm,6:34pm,6:37pm,6:40pm,6:43pm,6:45pm,6:47pm,6:50pm,6:53pm,6:55pm,6:57pm,7:00pm,7:02pm,7:05pm,7:07pm,7:09pm,7:12pm
10017,6:10pm,6:12pm,6:15pm,6:17pm,6:19pm,6:22pm,6:24pm,6:26pm,6:29pm,6:31pm,6:33pm,6:36pm,6:38pm,6:41pm,6:44pm,6:47pm,6:50pm,6:52pm,6:54pm,6:57pm,7:00pm,7:02pm,7:04pm,7:07pm,7:09pm,7:12pm,7:14pm,7:16pm,7:19pm
10018,6:17pm,6:19pm,6:22pm,6:24pm,6:26pm,6:29pm,6:31pm,6:33pm,6:36pm,6:38pm,6:40pm,6:43pm,6:45pm,6:48pm,6:51pm,6:54pm,6:57pm,6:59pm,7:01pm,7:04pm,7:07pm,7:09pm,7:11pm,7:14pm,7:16pm,7:19pm,7:21pm,7:23pm,7:26pm
10019,6:24pm,6:26pm,6:29pm,6:31pm,6:33pm,6:36pm,6:38pm,6:40pm,6:43pm,6:45pm,6:47pm,6:50pm,6:52pm,6:55pm,6:58pm,7:01pm,7:04pm,7:06pm,7:08pm,7:11pm,7:14pm,7:16pm,7:18pm,7:21pm,7:23pm,7:26pm,7:28pm,7:30pm,7:33pm
10020,6:31pm,6:33pm,6:36pm,6:38pm,6:40pm,6:43pm,6:45pm,6:47pm,6:50pm,6:52pm,6:54pm,6:57pm,6:59pm,7:02pm,7:05pm,7:08pm,7:11pm,7:13pm,7:15pm,7:18pm,7:21pm,7:23pm,7:25pm,7:28pm,7:30pm,7:33pm,7:35pm,7:37pm,7:40pm
