ID,Qutab Minar,Chhattarpur,Sultanpur,Ghitorni,Arjan Garh,Gurudronacharya,Sikanderpur,MG Road,IFFCO Chowk,Huda City Centre
11441,5:49am,5:52am,5:55am,5:57am,6:01am,6:04am,6:07am,6:09am,6:12am,6:14am
11442,5:52am,5:55am,5:58am,6:00am,6:04am,6:07am,6:09am,6:12am,6:15am,6:17am
11443,5:55am,5:58am,6:01am,6:03am,6:07am,6:10am,6:12am,6:15am,6:17am,6:20am
11444,5:58am,6:01am,6:03am,6:06am,6:09am,6:13am,6:15am,6:18am,6:20am,6:23am
11445,6:01am,6:03am,6:06am,6:09am,6:12am,6:16am,6:18am,6:20am,6:23am,6:25am
11446,6:04am,6:06am,6:09am,6:12am,6:15am,6:19am,6:21am,6:23am,6:26am,6:28am
11447,6:07am,6:09am,6:12am,6:15am,6:18am,6:22am,6:24am,6:26am,6:29am,6:31am
11448,6:09am,6:12am,6:15am,6:17am,6:21am,6:25am,6:27am,6:29am,6:32am,6:34am
11449,6:12am,6:15am,6:18am,6:20am,6:24am,6:27am,6:30am,6:32am,6:35am,6:37am
11450,6:15am,6:18am,6:21am,6:23am,6:27am,6:30am,6:32am,6:35am,6:37am,6:40am
11451,6:18am,6:21am,6:24am,6:26am,6:30am,6:33am,6:35am,6:38am,6:40am,6:43am
11452,6:21am,6:24am,6:26am,6:29am,6:32am,6:36am,6:38am,6:41am,6:43am,6:46am
11453,6:24am,6:26am,6:29am,6:32am,6:35am,6:39am,6:41am,6:43am,6:46am,6:48am
11454,6:27am,6:29am,6:32am,6:35am,6:38am,6:42am,6:44am,6:46am,6:49am,6:51am
11455,6:30am,6:32am,6:35am,6:37am,6:41am,6:45am,6:47am,6:49am,6:52am,6:54am
11456,6:32am,6:35am,6:38am,6:40am,6:44am,6:47am,6:50am,6:52am,6:55am,6:57am
11457,6:35am,6:38am,6:41am,6:43am,6:47am,6:50am,6:52am,6:55am,6:58am,7:00am
11458,6:38am,6:41am,6:44am,6:46am,6:50am,6:53am,6:55am,6:58am,7:00am,7:03am
11459,6:41am,6:44am,6:46am,6:49am,6:52am,6:56am,6:58am,7:01am,7:03am,7:06am
11460,6:44am,6:46am,6:49am,6:52am,6:55am,6:59am,7:01am,7:03am,7:06am,7:08am
11461,6:47am,6:49am,6:52am,6:55am,6:58am,7:02am,7:04am,7:06am,7:09am,7:11am
11462,6:50am,6:52am,6:55am,6:58am,7:01am,7:05am,7:07am,7:09am,7:12am,7:14am
11463,6:52am,6:55am,6:58am,7:00am,7:04am,7:08am,7:10am,7:12am,7:15am,7:17am
11464,6:55am,6:58am,7:01am,7:03am,7:07am,7:10am,7:13am,7:15am,7:18am,7:20am
11465,6:58am,7:01am,7:04am,7:06am,7:10am,7:13am,7:15am,7:18am,7:20am,7:23am
11466,7:01am,7:04am,7:07am,7:09am,7:13am,7:16am,7:18am,7:21am,7:23am,7:26am
11467,7:04am,7:07am,7:09am,7:12am,7:15am,7:19am,7:21am,7:24am,7:26am,7:29am
11468,7:07am,7:09am,7:12am,7:15am,7:18am,7:22am,7:24am,7:26am,7:29am,7:31am
11469,7:10am,7:12am,7:15am,7:18am,7:21am,7:25am,7:27am,7:29am,7:32am,7:34am
11470,7:13am,7:15am,7:18am,7:20am,7:24am,7:28am,7:30am,7:32am,7:35am,7:37am
11471,7:15am,7:18am,7:21am,7:23am,7:27am,7:30am,7:33am,7:35am,7:38am,7:40am
11472,7:18am,7:21am,7:24am,7:26am,7:30am,7:33am,7:35am,7:38am,7:41am,7:43am
11473,7:21am,7:24am,7:27am,7:29am,7:33am,7:36am,7:38am,7:41am,7:43am,7:46am
11474,7:24am,7:27am,7:29am,7:32am,7:35am,7:39am,7:41am,7:44am,7:46am,7:49am
11475,7:27am,7:29am,7:32am,7:35am,7:38am,7:42am,7:44am,7:46am,7:49am,7:51am
11476,7:30am,7:32am,7:35am,7:38am,7:41am,7:45am,7:47am,7:49am,7:52am,7:54am
11477,7:33am,7:35am,7:38am,7:41am,7:44am,7:48am,7:50am,7:52am,7:55am,7:57am
11478,7:35am,7:38am,7:41am,7:43am,7:47am,7:51am,7:53am,7:55am,7:58am,8:00am
11479,7:38am,7:41am,7:44am,7:46am,7:50am,7:53am,7:56am,7:58am,8:01am,8:03am
11480,7:41am,7:44am,7:47am,7:49am,7:53am,7:56am,7:58am,8:01am,8:03am,8:06am
11481,7:44am,7:47am,7:50am,7:52am,7:56am,7:59am,8:01am,8:04am,8:06am,8:09am
11482,7:47am,7:50am,7:52am,7:55am,7:58am,8:02am,8:04am,8:07am,8:09am,8:12am
11483,7:50am,7:52am,7:55am,7:58am,8:01am,8:05am,8:07am,8:09am,8:12am,8:14am
11484,7:53am,7:55am,7:58am,8:01am,8:04am,8:08am,8:10am,8:12am,8:15am,8:17am
11485,7:56am,7:58am,8:01am,8:03am,8:07am,8:11am,8:13am,8:15am,8:18am,8:20am
11486,7:58am,8:01am,8:04am,8:06am,8:10am,8:13am,8:16am,8:18am,8:21am,8:23am
11487,8:01am,8:04am,8:07am,8:09am,8:13am,8:16am,8:18am,8:21am,8:24am,8:26am
11488,8:16am,8:19am,8:22am,8:24am,8:28am,8:31am,8:33am,8:36am,8:38am,8:41am
11489,8:31am,8:33am,8:36am,8:39am,8:42am,8:46am,8:48am,8:50am,8:53am,8:55am
11490,8:46am,8:48am,8:51am,8:54am,8:57am,9:01am,9:03am,9:05am,9:08am,9:10am
11491,9:00am,9:03am,9:06am,9:08am,9:12am,9:16am,9:18am,9:20am,9:23am,9:25am
11492,9:15am,9:18am,9:21am,9:23am,9:27am,9:30am,9:32am,9:35am,9:38am,9:40am
11493,9:30am,9:33am,9:36am,9:38am,9:42am,9:45am,9:47am,9:50am,9:52am,9:55am
11494,9:45am,9:47am,9:50am,9:53am,9:56am,10:00am,10:02am,10:04am,10:07am,10:09am
11495,10:00am,10:02am,10:05am,10:08am,10:11am,10:15am,10:17am,10:19am,10:22am,10:24am
11496,10:14am,10:17am,10:20am,10:22am,10:26am,10:30am,10:32am,10:34am,10:37am,10:39am
11497,10:29am,10:32am,10:35am,10:37am,10:41am,10:44am,10:46am,10:49am,10:52am,10:54am
11498,10:44am,10:47am,10:50am,10:52am,10:56am,10:59am,11:01am,11:04am,11:06am,11:09am
11499,10:59am,11:01am,11:04am,11:07am,11:10am,11:14am,11:16am,11:18am,11:21am,11:23am
11500,11:14am,11:16am,11:19am,11:22am,11:25am,11:29am,11:31am,11:33am,11:36am,11:38am
11501,11:28am,11:31am,11:34am,11:36am,11:40am,11:44am,11:46am,11:48am,11:51am,11:53am
11502,11:43am,11:46am,11:49am,11:51am,11:55am,11:58am,12:00pm,12:03pm,12:06pm,12:08pm
11503,11:58am,12:01pm,12:04pm,12:06pm,12:10pm,12:13pm,12:15pm,12:18pm,12:20pm,12:23pm
11504,12:13pm,12:15pm,12:18pm,12:21pm,12:24pm,12:28pm,12:30pm,12:32pm,12:35pm,12:37pm
11505,12:16pm,12:18pm,12:21pm,12:24pm,12:27pm,12:31pm,12:33pm,12:35pm,12:38pm,12:40pm
11506,12:19pm,12:21pm,12:24pm,12:27pm,12:30pm,12:34pm,12:36pm,12:38pm,12:41pm,12:43pm
11507,12:21pm,12:24pm,12:27pm,12:29pm,12:33pm,12:37pm,12:39pm,12:41pm,12:44pm,12:46pm
11508,12:24pm,12:27pm,12:30pm,12:32pm,12:36pm,12:39pm,12:42pm,12:44pm,12:47pm,12:49pm
11509,12:27pm,12:30pm,12:33pm,12:35pm,12:39pm,12:42pm,12:44pm,12:47pm,12:49pm,12:52pm
11510,12:30pm,12:33pm,12:36pm,12:38pm,12:42pm,12:45pm,12:47pm,12:50pm,12:52pm,12:55pm
11511,12:33pm,12:36pm,12:38pm,12:41pm,12:44pm,12:48pm,12:50pm,12:53pm,12:55pm,12:58pm
11512,12:36pm,12:38pm,12:41pm,12:44pm,12:47pm,12:51pm,12:53pm,12:55pm,12:58pm,1:00pm
11513,12:39pm,12:41pm,12:44pm,12:47pm,12:50pm,12:54pm,12:56pm,12:58pm,1:01pm,1:03pm
11514,12:42pm,12:44pm,12:47pm,12:49pm,12:53pm,12:57pm,12:59pm,1:01pm,1:04pm,1:06pm
11515,12:44pm,12:47pm,12:50pm,12:52pm,12:56pm,12:59pm,1:02pm,1:04pm,1:07pm,1:09pm
11516,12:47pm,12:50pm,12:53pm,12:55pm,12:59pm,1:02pm,1:04pm,1:07pm,1:10pm,1:12pm
11517,12:50pm,12:53pm,12:56pm,12:58pm,1:02pm,1:05pm,1:07pm,1:10pm,1:12pm,1:15pm
11518,12:53pm,12:56pm,12:58pm,1:01pm,1:04pm,1:08pm,1:10pm,1:13pm,1:15pm,1:18pm
11519,12:56pm,12:58pm,1:01pm,1:04pm,1:07pm,1:11pm,1:13pm,1:15pm,1:18pm,1:20pm
11520,12:59pm,1:01pm,1:04pm,1:07pm,1:10pm,1:14pm,1:16pm,1:18pm,1:21pm,1:23pm
11521,1:02pm,1:04pm,1:07pm,1:10pm,1:13pm,1:17pm,1:19pm,1:21pm,1:24pm,1:26pm
11522,1:04pm,1:07pm,1:10pm,1:12pm,1:16pm,1:20pm,1:22pm,1:24pm,1:27pm,1:29pm
11523,1:07pm,1:10pm,1:13pm,1:15pm,1:19pm,1:22pm,1:25pm,1:27pm,1:30pm,1:32pm
11524,1:10pm,1:13pm,1:16pm,1:18pm,1:22pm,1:25pm,1:27pm,1:30pm,1:32pm,1:35pm
11525,1:13pm,1:16pm,1:19pm,1:21pm,1:25pm,1:28pm,1:30pm,1:33pm,1:35pm,1:38pm
11526,1:16pm,1:19pm,1:21pm,1:24pm,1:27pm,1:31pm,1:33pm,1:36pm,1:38pm,1:41pm
11527,1:19pm,1:21pm,1:24pm,1:27pm,1:30pm,1:34pm,1:36pm,1:38pm,1:41pm,1:43pm
11528,1:22pm,1:24pm,1:27pm,1:30pm,1:33pm,1:37pm,1:39pm,1:41pm,1:44pm,1:46pm
