ID,Noida Sector 142,Noida Sector 137,Noida Sector 83,NSEZ,Noida Sector 81,Noida Sector 101,Noida Sector 76,Noida Sector 50,Noida Sector 51
16989,6:00am,6:02am,6:04am,6:07am,6:09am,6:11am,6:14am,6:16am,6:18am
16990,6:10am,6:12am,6:14am,6:17am,6:19am,6:21am,6:24am,6:26am,6:28am
16991,6:20am,6:22am,6:24am,6:27am,6:29am,6:31am,6:34am,6:36am,6:38am
16992,6:30am,6:32am,6:34am,6:37am,6:39am,6:41am,6:44am,6:46am,6:48am
16993,6:40am,6:42am,6:44am,6:47am,6:49am,6:51am,6:54am,6:56am,6:58am
16994,6:50am,6:52am,6:54am,6:57am,6:59am,7:01am,7:04am,7:06am,7:08am
16995,7:00am,7:02am,7:04am,7:07am,7:09am,7:11am,7:14am,7:16am,7:18am
16996,7:10am,7:12am,7:14am,7:17am,7:19am,7:21am,7:24am,7:26am,7:28am
16997,7:20am,7:22am,7:24am,7:27am,7:29am,7:31am,7:34am,7:36am,7:38am
16998,7:30am,7:32am,7:34am,7:37am,7:39am,7:41am,7:44am,7:46am,7:48am
16999,7:40am,7:42am,7:44am,7:47am,7:49am,7:51am,7:54am,7:56am,7:58am
17000,7:50am,7:52am,7:54am,7:57am,7:59am,8:01am,8:04am,8:06am,8:08am
17001,8:00am,8:02am,8:04am,8:07am,8:09am,8:11am,8:14am,8:16am,8:18am
17002,8:10am,8:12am,8:14am,8:17am,8:19am,8:21am,8:24am,8:26am,8:28am
17003,8:17am,8:19am,8:22am,8:24am,8:26am,8:29am,8:31am,8:33am,8:36am
17004,8:25am,8:27am,8:29am,8:32am,8:34am,8:36am,8:39am,8:41am,8:43am
17005,8:32am,8:34am,8:37am,8:39am,8:41am,8:44am,8:46am,8:48am,8:51am
17006,8:40am,8:42am,8:44am,8:47am,8:49am,8:51am,8:54am,8:56am,8:58am
17007,8:47am,8:49am,8:52am,8:54am,8:56am,8:59am,9:01am,9:03am,9:06am
17008,8:55am,8:57am,8:59am,9:02am,9:04am,9:06am,9:09am,9:11am,9:13am
17009,9:02am,9:04am,9:07am,9:09am,9:11am,9:14am,9:16am,9:18am,9:21am
17010,9:10am,9:12am,9:14am,9:17am,9:19am,9:21am,9:24am,9:26am,9:28am
17011,9:17am,9:19am,9:22am,9:24am,9:26am,9:29am,9:31am,9:33am,9:36am
17012,9:25am,9:27am,9:29am,9:32am,9:34am,9:36am,9:39am,9:41am,9:43am
17013,9:32am,9:34am,9:37am,9:39am,9:41am,9:44am,9:46am,9:48am,9:51am
17014,9:40am,9:42am,9:44am,9:47am,9:49am,9:51am,9:54am,9:56am,9:58am
17015,9:47am,9:49am,9:52am,9:54am,9:56am,9:59am,10:01am,10:03am,10:06am
17016,9:55am,9:57am,9:59am,10:02am,10:04am,10:06am,10:09am,10:11am,10:13am
17017,10:02am,10:04am,10:07am,10:09am,10:11am,10:14am,10:16am,10:18am,10:21am
17018,10:10am,10:12am,10:14am,10:17am,10:19am,10:21am,10:24am,10:26am,10:28am
17019,10:17am,10:19am,10:22am,10:24am,10:26am,10:29am,10:31am,10:33am,10:36am
17020,10:25am,10:27am,10:29am,10:32am,10:34am,10:36am,10:39am,10:41am,10:43am
17021,10:32am,10:34am,10:37am,10:39am,10:41am,10:44am,10:46am,10:48am,10:51am
17022,10:40am,10:42am,10:44am,10:47am,10:49am,10:51am,10:54am,10:56am,10:58am
17023,10:47am,10:49am,10:52am,10:54am,10:56am,10:59am,11:01am,11:03am,11:06am
17024,10:55am,10:57am,10:59am,11:02am,11:04am,11:06am,11:09am,11:11am,11:13am
17025,11:02am,11:04am,11:07am,11:09am,11:11am,11:14am,11:16am,11:18am,11:21am
17026,11:10am,11:12am,11:14am,11:17am,11:19am,11:21am,11:24am,11:26am,11:28am
17027,11:17am,11:19am,11:22am,11:24am,11:26am,11:29am,11:31am,11:33am,11:36am
17028,11:25am,11:27am,11:29am,11:32am,11:34am,11:36am,11:39am,11:41am,11:43am
17029,11:32am,11:34am,11:37am,11:39am,11:41am,11:44am,11:46am,11:48am,11:51am
17030,11:40am,11:42am,11:44am,11:47am,11:49am,11:51am,11:54am,11:56am,11:58am
17031,11:47am,11:49am,11:52am,11:54am,11:56am,11:59am,12:01pm,12:03pm,12:06pm
17032,11:55am,11:57am,11:59am,12:02pm,12:04pm,12:06pm,12:09pm,12:11pm,12:13pm
17033,12:02pm,12:04pm,12:07pm,12:09pm,12:11pm,12:14pm,12:16pm,12:18pm,12:21pm
17034,12:12pm,12:14pm,12:17pm,12:19pm,12:21pm,12:24pm,12:26pm,12:28pm,12:31pm
17035,12:22pm,12:24pm,12:27pm,12:29pm,12:31pm,12:34pm,12:36pm,12:38pm,12:41pm
17036,12:32pm,12:34pm,12:37pm,12:39pm,12:41pm,12:44pm,12:46pm,12:48pm,12:51pm
17037,12:42pm,12:44pm,12:47pm,12:49pm,12:51pm,12:54pm,12:56pm,12:58pm,1:01pm
17038,12:52pm,12:54pm,12:57pm,12:59pm,1:01pm,1:04pm,1:06pm,1:08pm,1:11pm
17039,1:02pm,1:04pm,1:07pm,1:09pm,1:11pm,1:14pm,1:16pm,1:18pm,1:21pm
17040,1:12pm,1:14pm,1:17pm,1:19pm,1:21pm,1:24pm,1:26pm,1:28pm,1:31pm
17041,1:22pm,1:24pm,1:27pm,1:29pm,1:31pm,1:34pm,1:36pm,1:38pm,1:41pm
17042,1:32pm,1:34pm,1:37pm,1:39pm,1:41pm,1:44pm,1:46pm,1:48pm,1:51pm
17043,1:42pm,1:44pm,1:47pm,1:49pm,1:51pm,1:54pm,1:56pm,1:58pm,2:01pm
17044,1:52pm,1:54pm,1:57pm,1:59pm,2:01pm,2:04pm,2:06pm,2:08pm,2:11pm
17045,2:02pm,2:04pm,2:07pm,2:09pm,2:11pm,2:14pm,2:16pm,2:18pm,2:21pm
17046,2:12pm,2:14pm,2:17pm,2:19pm,2:21pm,2:24pm,2:26pm,2:28pm,2:31pm
17047,2:22pm,2:24pm,2:27pm,2:29pm,2:31pm,2:34pm,2:36pm,2:38pm,2:41pm
17048,2:32pm,2:34pm,2:37pm,2:39pm,2:41pm,2:44pm,2:46pm,2:48pm,2:51pm
17049,2:42pm,2:44pm,2:47pm,2:49pm,2:51pm,2:54pm,2:56pm,2:58pm,3:01pm
17050,2:52pm,2:54pm,2:57pm,2:59pm,3:01pm,3:04pm,3:06pm,3:08pm,3:11pm
17051,3:02pm,3:04pm,3:07pm,3:09pm,3:11pm,3:14pm,3:16pm,3:18pm,3:21pm
17052,3:12pm,3:14pm,3:17pm,3:19pm,3:21pm,3:24pm,3:26pm,3:28pm,3:31pm
17053,3:22pm,3:24pm,3:27pm,3:29pm,3:31pm,3:34pm,3:36pm,3:38pm,3:41pm
17054,3:32pm,3:34pm,3:37pm,3:39pm,3:41pm,3:44pm,3:46pm,3:48pm,3:51pm
17055,3:42pm,3:44pm,3:47pm,3:49pm,3:51pm,3:54pm,3:56pm,3:58pm,4:01pm
17056,3:52pm,3:54pm,3:57pm,3:59pm,4:01pm,4:04pm,4:06pm,4:08pm,4:11pm
17057,4:02pm,4:04pm,4:07pm,4:09pm,4:11pm,4:14pm,4:16pm,4:18pm,4:21pm
17058,4:12pm,4:14pm,4:17pm,4:19pm,4:21pm,4:24pm,4:26pm,4:28pm,4:31pm
17059,4:22pm,4:24pm,4:27pm,4:29pm,4:31pm,4:34pm,4:36pm,4:38pm,4:41pm
