ID,Huda City Centre,IFFCO Chowk,MG Road,Sikanderpur,Gurudronacharya,Arjan Garh,Ghitorni,Sultanpur,Chhattarpur,Qutab Minar
2172,5:52am,5:54am,5:57am,5:59am,6:01am,6:05am,6:09am,6:11am,6:14am,6:17am
2173,5:55am,5:57am,6:00am,6:02am,6:04am,6:08am,6:12am,6:14am,6:17am,6:19am
2174,5:58am,6:00am,6:03am,6:05am,6:07am,6:11am,6:14am,6:17am,6:20am,6:22am
2175,6:01am,6:03am,6:06am,6:08am,6:10am,6:14am,6:17am,6:20am,6:23am,6:25am
2176,6:03am,6:06am,6:08am,6:11am,6:13am,6:17am,6:20am,6:23am,6:25am,6:28am
2177,6:06am,6:09am,6:11am,6:14am,6:16am,6:19am,6:23am,6:25am,6:28am,6:31am
2178,6:09am,6:11am,6:14am,6:17am,6:19am,6:22am,6:26am,6:28am,6:31am,6:34am
2179,6:12am,6:14am,6:17am,6:19am,6:22am,6:25am,6:29am,6:31am,6:34am,6:37am
2180,6:15am,6:17am,6:20am,6:22am,6:24am,6:28am,6:32am,6:34am,6:37am,6:40am
2181,6:18am,6:20am,6:23am,6:25am,6:27am,6:31am,6:34am,6:37am,6:40am,6:42am
2182,6:21am,6:23am,6:26am,6:28am,6:30am,6:34am,6:37am,6:40am,6:43am,6:45am
2183,6:23am,6:26am,6:28am,6:31am,6:33am,6:37am,6:40am,6:43am,6:45am,6:48am
2184,6:26am,6:29am,6:31am,6:34am,6:36am,6:39am,6:43am,6:45am,6:48am,6:51am
2185,6:29am,6:32am,6:34am,6:37am,6:39am,6:42am,6:46am,6:48am,6:51am,6:54am
2186,6:32am,6:34am,6:37am,6:40am,6:42am,6:45am,6:49am,6:51am,6:54am,6:57am
2187,6:35am,6:37am,6:40am,6:42am,6:44am,6:48am,6:52am,6:54am,6:57am,7:00am
2188,6:38am,6:40am,6:43am,6:45am,6:47am,6:51am,6:55am,6:57am,7:00am,7:02am
2189,6:41am,6:43am,6:46am,6:48am,6:50am,6:54am,6:57am,7:00am,7:03am,7:05am
2190,6:44am,6:46am,6:49am,6:51am,6:53am,6:57am,7:00am,7:03am,7:06am,7:08am
2191,6:46am,6:49am,6:51am,6:54am,6:56am,7:00am,7:03am,7:06am,7:08am,7:11am
2192,6:49am,6:52am,6:54am,6:57am,6:59am,7:02am,7:06am,7:08am,7:11am,7:14am
2193,6:52am,6:54am,6:57am,7:00am,7:02am,7:05am,7:09am,7:11am,7:14am,7:17am
